"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GQ02"	"GQ02_01"	"GQ02_02"	"GQ02_03"	"GQ02_04"	"GQ02_05"	"GQ02_06"	"GQ02_09"	"GQ02_10"	"GQ02_07"	"GQ02_07a"	"BI01"	"BI02"	"BI04_01"	"BI05"	"BI05_01"	"BI05_02"	"BI05_03"	"BI05_04"	"BI05_05"	"BI05_06"	"BI05_07"	"BI05_08"	"BI05_09"	"BI05_10"	"BI05_11"	"BI05_12"	"BI05_13"	"BI05_14"	"BI05_15"	"BI05_16"	"BI05_17"	"BI05_18"	"BI05_19"	"BI05_20"	"BI05_21"	"BI05_22"	"BI05_23"	"BI05_24"	"BI05_27"	"BI05_25"	"BI05_25a"	"BI05_26"	"BI06_01"	"BI07"	"BI08"	"BI08_01"	"BI08_02"	"BI08_03"	"BI08_04"	"BI08_05"	"BI08_06"	"BI08_07"	"BI08_08"	"BI08_09"	"BI08_10"	"BI08_11"	"BI08_11a"	"BI08_12"	"BI09"	"BI09_01"	"BI09_01a"	"BI09_02"	"BI09_03"	"BI09_04"	"BI09_05"	"BI09_06"	"BI09_07"	"BI09_08"	"BI09_08a"	"BI10"	"BI11"	"PR01"	"PR01_01"	"PR01_02"	"PR01_03"	"PR01_04"	"PR01_05"	"PR01_05a"	"PR01_06"	"PR03"	"PR07_02"	"PR07_03"	"PR07_04"	"PR07_05"	"PR07_06"	"PR07_07"	"PR07_08"	"PR07_09"	"PR07_10"	"PR07_01"	"DS04"	"DS09"	"DS10"	"DS11"	"DS11_01"	"DS11_02"	"DS11_03"	"DS11_04"	"DS11_05"	"DS11_06"	"DS11_06a"	"DS13_01"	"DS13_02"	"DS13_03"	"DS13_04"	"DS13_05"	"DS13_06"	"DS13_07"	"DS13_08"	"DS13_09"	"DS13_10"	"DS13_11"	"DS13_12"	"DS02_01"	"DS02_02"	"DS02_03"	"DS02_04"	"DS02_05"	"DS02_06"	"NA01"	"NA01_04"	"NA02"	"NA02_06"	"NA03"	"NA04"	"NA05"	"NA05_01"	"NA05_02"	"NA05_03"	"NA05_04"	"NA05_05"	"NA05_06"	"NA05_06a"	"NA06"	"NA07"	"SP01"	"SP01_01"	"SP01_02"	"SP01_03"	"SP01_04"	"SP01_05"	"SP01_06"	"SP01_06a"	"SP01_07"	"PD01_01"	"PD02"	"PD10"	"PD04"	"PD04_07"	"PD05_01"	"PD06"	"PD06_07"	"PD06_08"	"PD07"	"PD07_06"	"PD08"	"PD09"	"PD09_01"	"PD09_02"	"PD09_03"	"PD12_01"	"FB01_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
441	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:57:42	2	T	T	F	F	F	F	F	F	F		1	2																																															1	F		F	F	F	F	T	F	F		5		3	T	T	T	F	F		F	5	1	2	4	2	1	1	1	1	2	7	2	4	4	1	T	F	F	F	F	F		4	5	5	5	3	2	4	3	1	1	1	1	5	5	7	6	5	2	3		1		3	1	2		T	F	T	F	F		3	1	1	T	F	F	F	F	F		F	28	1	1	6		7	9			3		1	2	T	T	F			22	7	5	4		10	8		13	42	4	35	7	41	15	6	4	9	29	12	273		2020-12-01 10:02:15	T	F	20	20	3	1	1.89	48
443	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 09:58:55	3	T	T	F	F	F	F	T	F	F		1	1	1000	3	F	F	F	F	F	F	F	T	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	3	5	3	T	F	F	F	F	F	T	T	F	F	F		F												5		1	F	F	F	F	F		T	5	6	6	6	3	1	1	1	1	7	4	2	3	3	1	F	F	F	F	F	T	"I don't have primary neuroimaging data, I use open data or data that has already been acquired"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2		1		1	1	1		T	F	F	F	F		3	2	1	F	F	F	F	F	F		T	28	1	1	6		5	9			3		3	1	F	F	T	"Belgium"	"PLease add the option 'not applicable' to data sharing, because some people only use openly shared data"	9	20	5	4	74		7		7	44	7	21	26	15	23	13	10	6	52	34	377		2020-12-01 10:05:12	T	F	20	20	0	0	1.64	40
444	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:06:29	2	T	F	F	T	F	F	F	F	F		1	2																																															2	F		F	T	F	F	F	T	F		4		2	T	T	F	F	F		F	4	5	4	2	7	1	5	4	4	2	5	2	4	2	1	F	F	T	F	F	F		2	5	2	2	2	1	5	1	6	3	3	5	2	6	6	5	3	1	1		1		3	2										1	2	T	T	F	F	F	F		F	68	1	1	6		40	9			5		1	2	T	F	T			6	16	7	17		25	25		18	75	23	63	43	82	31		13	12	75	6	537		2020-12-01 10:15:26	T	F	20	20	4	1	1.03	13
448	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:15:21	4	T	T	F	F	F	F	T	F	T	"MR Spectroscopy"	2	2																																															3	F		T	T	T	F	F	F	F		4		1	T	F	F	F	F		F	4	7	4	7	4	7	7	4	4	4	4	2	1	5	3	T	T	T	F	F	F		7	7	7	4	4	7	7	7	4	4	4	7	4	7	4	7	1	4	2		2		2	1	2	T		F	F	F	T	"TrackVis"	2	1	1	F	F	F	F	F	T	"Manually with a power point or something like that"	F	44	2	1	7	"Biochemist PhD"	20	7	"Magnetic Resonance"		6	"Clinical Researcher"	4	1	F	F	T	"Spain"		6	20	7	35		20	19		48	68	6	84	16	68	40	22	6	24	105	11	605		2020-12-01 10:25:26	T	F	20	20	2	0	1.01	13
449	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:17:18	5	T	T	F	T	F	T	T	F	F		1	1	300	2	T	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	3	5	3	T	F	F	F	F	T	T	F	F	F	F		F												5		1	F	F	F	F	F		T	3	6	2	3	4	3	3	1	2	2	5	1	2	3	1	T	F	F	F	F	F		6	5	1	1	3	1	1	4	2	3	2	1	3	5	6	6	2	1	2		1		1	1	4		T	T	T	T	F		1	2	4	F	T	T	T	T	F		F	38	1	1	2		15	9			6	"Staff scientist"	1	3	T	T	T		"Thank you for the great work"	16	22	4	4	128		9		6	414	4	245	11	50	28	9	4	7	46	19	683		2020-12-01 10:34:24	T	F	20	20	2	1	1.48	32
454	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:23:33	2	T	T	F	F	F	F	F	F	F		2	2																																															1	F		T	F	F	F	F	F	F		5		1	F	F	F	F	F		T	3	5	3	2	5	4	4	2	6	4	2	1	2	4	1	F	T	F	F	F	F		5	4	1	1	5	4	4	2	5	5	5	2	6	2	2	3	4	3	1		1		3	1	1		T	F	F	F	F		4	1	1	F	T	F	F	F	F		F	35	1	1	6		11	1			9		1	2	T	T	F			869	16	4	22		7	14		14	61	14	46	18	51	28	11	5	7	47	9	396		2020-12-01 10:44:16	T	F	20	20	3	1	1.26	18
458	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:36:56	3	T	T	F	F	F	F	T	F	F		2	2																																															1	F		T	F	F	F	F	F	F		5		1	F	F	F	F	F		T	1	6	2	6	6	6	6	5	6	4	4	2	2	3	1	F	T	F	F	F	F		6	6	3	3	6	6	6	4	4	4	4	4	4	4	4	4	4	4	1		4		4	1	1	T	F	F		F	F		4	1	2	T	F	T	F	F	F		F	34	2	1	3		7	9			2		1	2	T	T	F	"Portugal"		7	16	8	32		7	13		23	59	6	38	16	48	39	13	22	14	65	3	429		2020-12-01 10:44:05	T	F	20	20	2	0	1.33	30
460	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 10:49:06	4	T	T	F	T	F	F	T	F	F		1	2																																															2	F		F	T	T	F	F	F	F		5		1	F	F	F	F	T	"ISRCTN"	F	4	5	5	3	5	2	2	5	7	2	6	1	4	3	2	F	T	T	F	F	F		6	6	5	4	2	1	3	2	1	4	2	4	6	4	4	3	1	1	3		3		2	1	1	T	F		F	F	F		4	2	2	F	T	F	F	F	T	"custom software that I have written"	F	51	1	2	7	"neuroscientist and computer scientist"	35	9			10		5	2	T	T	F	"India"		118559	32	5	26		38	20		107	89	22	65	30	73	32	16	7	52	113	39	788		2020-12-02 19:57:51	T	F	20	20	2	0	0.65	1
462	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 11:10:34	6	T	T	F	T	T	F	T	T	F		1	2																																															1	F		F	F	T	F	F	F	F		4		2	T	F	T	F	F		F	3	5	5	1	6	1	3	5	5	1	6	1	3	1									5	2	4	5	2	1	2	1	4	5	5	6	3	5	6	7	4	2	2		1		2	1	2		T	F	T	F	F		2	2	1	T	F	F	F	F	F		F	55	1	1	3		23	1			5		6	2	T	T	F	"Germany"		3	9	4	4		11	6		7	36	5	29		29	11	10	4	5	46	15	234		2020-12-01 11:14:28	T	F	20	20	2	0	2.05	67
463	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 11:17:44	2	T	T	F	F	F	F	F	F	F		1	1	64	1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	"I don't know as a postdoc does the actual work"	F	2	5	1	F	F	F	F	F	F	F	F	F	F	T	"I don't know as a postdoc does the actual work"	F												5		2	F	T	F	F	T	"Prospero"	F	5	6	4	7	7	1	5	5	5	4	6	1	5	2	1	F	F	F	F	F	T	"Legislature on previous studies unclear, for all new studies we explicitly state that data will be shared openly"	6	6	4	4	7	4	6	4	2	2	2	2	4	4	4	4	4	1	2		2		3	1	1	T		F	F	F	F		4	3	1	F	F	F	F	T	F		F	42	2	1	7	"Neuroscientist"	18	9			5		2	1	T	F	F	"Norway"	"A lot of your questions speak to issues we are currently working on implementing in the lab, work led by a senior postdoc with me as a positive, but rather passive collaborator. Most of the stuff you ask about is the right thing to do, but it's hard to fit into the training of aspiring PIs; I can see that the work is not directly forwarding the postdoc's career. We still do it, but the system needs to change (or I need an engineer to implement new practices to free up postdoc's time, but where to find funding?)"	5	8	7	5	68		10		20	61	10	64	44	53	19	8	9	8	53	130	468		2020-12-01 11:27:26	T	F	20	20	0	0	1.31	25
478	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 12:26:52	6	T	T	F	T	F	T	T	T	F		1	2																																															2	F		F	F	T	F	F	F	T	"I find it too verbose and just a complication of my work. I don't want to spend time on this any more, given what I saw in demos from colleagues. Terrible, just terrible."	4		1	F	F	F	F	F		T	1	7	6	7	7	3	6	4	4	7	7	1	4	4	5	F	T	T	T	T	T	"Data privacy in the clinic does not even allow to reuse hard disks after formatting of research data was once on them. Hard disks have to be destroyed by a dedicated service or may not leave the house. In this environment I would incriminate myself if I shared data online."	6	5	6	6	7	4	5	7	7	7	4	7	2	3	5	7	7	4	2		1		1	1	1		T	F	F	F	F		2	2	3	T	F	T	F	T	F		F	38	1	1	4		12	4			3		1	3	T	T	T	"Germany"	"I am not sure how the issue of data sharing can be solved.
We would have to get funding agencies involved and fund education as well as costs of hosting data.
BUT, this is certainly not enough, because in my institution we get a lecture every year on fire, MRI and data safety/privacy, and in the privacy part we are constantly told that no human data should ever leave the clinic.
If we use a hard drive to store human data, then we have to leave it in the clinic and formatting it after use is not sufficient for reuse outside the clinic, we have to give it to data security department to destroy it.
If I ever share something online that is direct human data (imaging for example) then I would incriminate myself and could be fired from my job.
It is possible to share derived data, e.g., some numbers from some regions of interest but nothing that can be reconstructed into an image.
They are very specific about images.

I don't think this can be solved in the current system.
Maybe if the funding agencies insist on sharing and somehow provide a platform and legal cover such that the clinic can accept this a data separate from their concerns then maybe it would be possible.

Don't get me wrong I would like it if everyone would have their data online, there would be so many opportunities and the fears would go away if many many researchers participated and everyone gets used to it.
How to bootstrap this? I don't know."	15	20	5	7		119	18		25	71	8	80	120	59	25	11	8	9	50	681	471		2020-12-01 12:49:04	T	F	20	20	0	0	0.97	8
482	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 14:00:14	2	T	T	F	F	F	F	F	F	F		2	2		0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F		-9	0	F	F	F	F	F	F	F	F	F	F	F		F	4	F		T	T	T	F	T	F	F		3		1	F	F	T	F	F		F	2	6	5	2	7	6	2	1	1	4	1	1	4	1	0	F	F	F	F	F	F		6	7	5	5	2	4	3	4	5	4	2	5	2	2	5	6	3	4	3		1		4	2										3	1	F	T	F	F	F	F		F	50	2	2	5		20	1			5		1	2	T	T	F			16	27	12	38	15	24	9		13	138	18	154	8	114	45		6	17	97	6	757		2020-12-01 14:12:52	T	F	20	20	13	11	1.14	25
483	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 14:13:32	2	T	T	F	F	F	F	F	F	F		1	2																																															1	F		F	F	T	F	F	F	F		4		3	F	T	T	T	F		F	5	1	5	5	3	1	2	1	3	4	2	1	4	4	1	F	F	F	F	F	T	"The consent form does not include the possibility that data will be stored on servers in countries that are not governed by the EU General Data Protection Regulation. Technically, subjects have thus not consented to their data being shared online. Sharing is only possible after complete anonymisation, i.e. only after the project is completed"	6	7	3	3	5	1	5	5	1	1	1	1	4	4	4	4	1	1	1		1		2	1	2		T	F	T	F	F		2	2	2	T	F	T	F	F	F		F	42	1	1	6		10	9			9		1	3	T	T	T			24	13	48	28		16	16		12	63	10	46	291	44	21	16	10	6	57	27	440		2020-12-01 14:26:00	T	F	20	20	3	1	1	9
484	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 14:33:58	4	T	T	F	F	T	F	T	F	F		1	1	4	1	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	1	4	1	F	F	F	F	F	F	F	F	F	F	F		T												4		1	T	F	F	F	F		F	4	2	3	4	4	1	2	1	1	1	3	1	4	4	2	F	T	T	F	F	F		5	1	1	4	1	1	3	1	1	4	4	4	4	4	4	1	1	1	3		3		3	1	1	F	F		F	F	T	"Freesurfer"	3	2	1	F	F	F	F	T	F		F	47	1	2	6		21	9			6	"Senior Investigator"	6	2	T	T	F	"USA"		36	22	6	20	65		15		27	75	12	50	29	56	26	20	8	14	66	18	565		2020-12-01 14:43:23	T	F	20	20	2	0	0.9	2
487	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 14:42:21	3	T	T	F	F	F	F	T	F	F		2	2																																															1	F		T	F	F	F	F	F	F		4		1	F	F	F	F	F		T	4	6	5	6	7	5	6	4	4	3	4	1	4	2	1	F	T	F	F	F	F		7	6	5	4	6	4	3	3	5	2	2	2	6	4	5	6	4	2	1		4		2	1	1	T	F	F		F	F		3	1	1	F	T	F	F	F	F		F	47	1	2	1		15	7	"surgery"		3		4	1	T	F	F	"Brazil"		16	9	6	6		8	15		19	63	8	59	25	88	28	16	8	9	87	18	488		2020-12-01 14:50:29	T	F	20	20	2	0	1.19	12
488	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 14:54:47	4	T	T	F	T	F	F	T	F	F		1	2																																															1	F		F	T	F	F	F	F	F		5		1	F	F	F	F	F		T	3	6	4	6	6	6	4	4	4	4	4	1	4	3	5	T	T	T	T	T	F		7	5	5	6	4	4	4	4	5	4	3	4	6	3	7	4	2	3	2		2		1	1	1	F		F	F	T	F		3	2	1	F	F	F	F	F	F		T	38	1	1	2		13	6			9		1	1	T	F	F			7	13	7	4		20	17		8	65	7	60	20	57	23	12	9	11	65	13	418		2020-12-01 15:01:45	T	F	20	20	3	1	1.36	21
490	"~anonymous"		"OSQ_Serienmail"	"interview"	2020-12-01 15:18:46	5	T	T	F	T	F	F	T	T	F		1	1	24	2	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		F	3	4	1	F	F	F	F	F	F	F	F	F	F	F		T	0	F		F	F	F	F	F	F	F		4		1	F	F	F	F	F		T	1	7	7	1	7	1	1	1	4	4	7	1	3	2	2	T	F	T	F	F	F		6	6	2	6	2	1	2	1	7	1	1	7	4	5	5	5	5	3	2		3		1	2										2	1	T	F	F	F	F	F		F	44	1	2	6		24	9			10		6	3	T	T	T	"USA"		382	595	36	46	222	3	20		47	113	30	131	54	107	63		24	48	170	74	1036		2020-12-01 15:54:52	T	F	20	20	3	2	0.51	14
